Year,Cause,Age Adjusted Death Rate
1900,Cancer,114.8
1901,Cancer,118.1
1902,Cancer,119.7
1903,Cancer,125.2
1904,Cancer,127.9
1905,Cancer,132.5
1906,Cancer,128.8
1907,Cancer,133
1908,Cancer,134.5
1909,Cancer,138.1
1910,Cancer,143.1
1911,Cancer,140.4
1912,Cancer,144.7
1913,Cancer,147.8
1914,Cancer,146.6
1915,Cancer,149.5
1916,Cancer,152.2
1917,Cancer,150.7
1918,Cancer,148.4
1919,Cancer,152.1
1920,Cancer,159
1921,Cancer,163.5
1922,Cancer,165.6
1923,Cancer,168.8
1924,Cancer,170.6
1925,Cancer,174.3
1926,Cancer,177.3
1927,Cancer,177.8
1928,Cancer,177.8
1929,Cancer,175.3
1930,Cancer,174.5
1931,Cancer,175.8
1932,Cancer,179.2
1933,Cancer,178.2
1934,Cancer,181.6
1935,Cancer,183.4
1936,Cancer,186.8
1937,Cancer,184.6
1938,Cancer,185.7
1939,Cancer,187.1
1940,Cancer,187.8
1941,Cancer,184.1
1942,Cancer,183.8
1943,Cancer,183.9
1944,Cancer,183.8
1945,Cancer,186.9
1946,Cancer,187.1
1947,Cancer,190.7
1948,Cancer,193.4
1949,Cancer,193.9
1950,Cancer,193.9
1951,Cancer,192
1952,Cancer,194.2
1953,Cancer,194.6
1954,Cancer,194.3
1955,Cancer,194.5
1956,Cancer,195.6
1957,Cancer,195.4
1958,Cancer,192
1959,Cancer,191.6
1960,Cancer,193.9
1961,Cancer,193.4
1962,Cancer,193.3
1963,Cancer,194.7
1964,Cancer,193.6
1965,Cancer,195.6
1966,Cancer,196.5
1967,Cancer,197.3
1968,Cancer,198.8
1969,Cancer,198.5
1970,Cancer,198.6
1971,Cancer,199.3
1972,Cancer,200.3
1973,Cancer,200
1974,Cancer,201.5
1975,Cancer,200.1
1976,Cancer,202.5
1977,Cancer,203.5
1978,Cancer,204.9
1979,Cancer,204
1980,Cancer,207.9
1981,Cancer,206.4
1982,Cancer,208.3
1983,Cancer,209.1
1984,Cancer,210.8
1985,Cancer,211.3
1986,Cancer,211.5
1987,Cancer,211.7
1988,Cancer,212.5
1989,Cancer,214.2
1990,Cancer,216
1991,Cancer,215.2
1992,Cancer,213.5
1993,Cancer,213.5
1994,Cancer,211.7
1995,Cancer,209.8
1996,Cancer,206.7
1997,Cancer,203.5
1998,Cancer,200.7
1999,Cancer,200.8
2000,Cancer,199.6
2001,Cancer,196.5
2002,Cancer,194.3
2003,Cancer,190.9
2004,Cancer,186.8
2005,Cancer,185.1
2006,Cancer,181.8
2007,Cancer,179.3
2008,Cancer,176.4
2009,Cancer,173.5
2010,Cancer,172.8
2011,Cancer,169
2012,Cancer,166.5
2013,Cancer,163.2
2014,Cancer,161.2
2015,Cancer,158.5
2016,Cancer,155.8
2017,Cancer,152.5
2018,Cancer,149.1
